CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1,Ativo Total,1388864529.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1,Ativo Total,1387215686.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.01,Caixa e Equivalentes de Caixa,102700113.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.01,Caixa e Equivalentes de Caixa,103127771.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.01.01,Caixa e Depósitos Bancários,18046717.0,N
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.01.01,Caixa e Depósitos Bancários,12798204.0,N
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.01.02,Depósitos Interfinanceiros,46457253.0,N
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.01.02,Depósitos Interfinanceiros,32037173.0,N
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.01.03,Aplicações em Operações Compromissadas,38196143.0,N
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.01.03,Aplicações em Operações Compromissadas,58281504.0,N
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.01.04,Aplicações em Moeda Estrangeira,0.0,N
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.01.04,Aplicações em Moeda Estrangeira,10890.0,N
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.02,Aplicações Financeiras,117503713.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.02,Aplicações Financeiras,121459334.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,113611973.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,112339073.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.02.01.01,Títulos para Negociação,11218150.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.02.01.01,Títulos para Negociação,7669398.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.02.01.02,Títulos Disponíveis para Venda,102393823.0,S
